gameId,homeTeamId,awayTeamId
49211,9677,9668
49212,9669,9676
49213,9670,9675
49214,9671,9674
49215,9672,9673
49216,9668,9669
49217,9677,9670
49218,9676,9671
49219,9675,9672
49220,9673,9674
49221,9670,9668
49222,9671,9669
49223,9672,9677
49224,9676,9673
49225,9674,9675
49226,9668,9671
49227,9672,9670
49228,9673,9669
49229,9674,9677
49230,9675,9676
49231,9668,9672
49232,9671,9673
49233,9670,9674
49234,9669,9675
49235,9677,9676
49236,9673,9668
49237,9674,9672
49238,9675,9671
49239,9676,9670
49240,9669,9677
49241,9668,9674
49242,9673,9675
49243,9676,9672
49244,9671,9677
49245,9670,9669
49246,9675,9668
49247,9674,9676
49248,9677,9673
49249,9672,9669
49250,9671,9670
49251,9668,9676
49252,9675,9677
49253,9669,9674
49254,9673,9670
49255,9672,9671
49624,9669,9677
49625,9675,9676
49626,9668,9671
49627,9670,9674
49628,9673,9672
49741,9672,9671
49742,9670,9668
49743,9676,9677
49744,9674,9669
49745,9673,9675
49851,9675,9668
49852,9672,9674
49853,9676,9673
49854,9671,9669
49855,9677,9670
49872,9670,9676
49873,9672,9677
49874,9675,9669
49875,9671,9668
49876,9673,9674
